n04613696 yurt
n02536864 silver_salmon
n02536864 cohoe
n02536864 coho
n02536864 coho_salmon
n02102318 cocker_spaniel
n02102318 cocker
n03916031 essence
n03916031 perfume
n03544143 hourglass
n02437312 dromedary
n06785654 crossword
n06785654 crossword_puzzle
n03843555 oil_filter
n04461696 wrecker
n04461696 tow_truck
n01983481 american_lobster
n01983481 maine_lobster
n06596364 comic_book
n03208938 disc_brake
n02130308 acinonyx_jubatus
n02130308 cheetah
n02791270 barbershop
n01582220 magpie
n02100877 irish_setter
n02364673 guinea_pig
n04392985 tape_player
n04229816 ski_mask
n12267677 acorn
n03899768 terrace
n03899768 patio
n07831146 carbonara
n01689811 alligator_lizard
n04209239 shower_curtain
n03445924 golf_cart
n02111129 leonberg
n04447861 toilet_seat
n04275548 spider_web
n01978455 rock_crab
n02749479 assault_gun
n02749479 assault_rifle
n02981792 catamaran
n02090379 redbone
n04443257 tobacconist
n04443257 tobacco_shop
n02105412 kelpie
n04487081 trackless_trolley
n04487081 trolleybus
n04532670 viaduct
n01818515 macaw
n03733805 measuring_cup
n09193705 alp
n07565083 menu
n03584254 ipod
n02092002 deerhound
n04371774 swing
n01698640 american_alligator
n02115913 dhole
n02107312 miniature_pinscher
n02102040 english_springer
n04366367 suspension_bridge
n04435653 tile_roof
n03929855 pickelhaube
n03598930 jigsaw_puzzle
n01695060 komodo_dragon
n01695060 giant_lizard
n04019541 hockey_puck
n04019541 puck
n03075370 combination_lock
n03777754 modem
n03425413 gas_pump
n03425413 gasoline_pump
n03425413 petrol_pump
n03775071 mitten
n04501370 turnstile
n04548280 wall_clock
n04264628 space_bar
n02114855 coyote
n02114855 canis_latrans
n02988304 cd_player
n02134084 polar_bear
n02134084 ice_bear
n01776313 tick
n02992211 violoncello
n02992211 cello
n02422699 impala
n06874185 traffic_signal
n06874185 stoplight
n06874185 traffic_light
n04141327 scabbard
n02782093 balloon
n02058221 albatross
n03417042 garbage_truck
n10565667 scuba_diver
n01697457 nile_crocodile
n02871525 bookstore
n02871525 bookshop
n02871525 bookstall
n03218198 dog_sled
n03218198 dogsled
n02100583 vizsla
n03841143 odometer
n02091831 saluki
n03938244 pillow
n02790996 barbell
n04266014 space_shuttle
n02669723 academic_gown
n03891251 park_bench
n02105056 groenendael
n02093991 irish_terrier
n02056570 king_penguin
n02951585 can_opener
n02098413 lhasa_apso
n02098413 lhasa
n02074367 dugong
n01883070 wombat
n02105641 bobtail
